step,time,iter,residual,residual0,rel_residual,update_norm,update0,rel_update,converged
1,0.1,0,1006.986899420456,1006.986899420456,1,448.1215812616526,448.1215812616526,1,0
1,0.1,1,319.2221542513813,1006.986899420456,0.3170072564351145,63.54293099472176,448.1215812616526,0.1417984173308981,0
1,0.1,2,10.28347493374397,1006.986899420456,0.01021212385152413,1.409932354327535,448.1215812616526,0.003146316565156215,0
1,0.1,3,0.008913462099766224,1006.986899420456,8.851616743868394e-06,0.0007394712631766075,448.1215812616526,1.650157667244416e-06,0
1,0.1,4,4.347990465601456e-09,1006.986899420456,4.317822275646114e-12,0,448.1215812616526,0,1
2,0.2,0,411.4823985456603,411.4823985456603,1,284.8814645422991,284.8814645422991,1,0
2,0.2,1,46.36423244944329,411.4823985456603,0.1126761013674281,21.67899271007655,284.8814645422991,0.07609829142414305,0
2,0.2,2,0.3581445087222113,411.4823985456603,0.000870376254216545,0.1330124329452333,284.8814645422991,0.0004669044830941736,0
2,0.2,3,1.819668881843308e-05,411.4823985456603,4.422227750870339e-08,5.195861840764989e-06,284.8814645422991,1.823867989836703e-08,0
2,0.2,4,8.707214443630704e-11,411.4823985456603,2.116060000234616e-13,0,284.8814645422991,0,1
3,0.3,0,331.0569206127963,331.0569206127963,1,235.3082116353273,235.3082116353273,1,0
3,0.3,1,23.95297294786305,331.0569206127963,0.07235303495098477,13.14437840820081,235.3082116353273,0.0558602622358608,0
3,0.3,2,0.09079647876665273,331.0569206127963,0.0002742624398202754,0.04330389255866258,235.3082116353273,0.000184030520047356,0
3,0.3,3,1.189743669824781e-06,331.0569206127963,3.59377374628668e-09,0,235.3082116353273,0,1
4,0.4,0,294.1236241235103,294.1236241235103,1,207.5561109246574,207.5561109246574,1,0
4,0.4,1,16.11000759508306,294.1236241235103,0.05477291272705806,9.342433688381902,207.5561109246574,0.04501160503904986,0
4,0.4,2,0.03810773589628923,294.1236241235103,0.0001295636690519181,0.0199606266855068,207.5561109246574,9.616978558994334e-05,0
4,0.4,3,2.023980511434323e-07,294.1236241235103,6.881393895052782e-10,0,207.5561109246574,0,1
5,0.5,0,271.4341463225774,271.4341463225774,1,188.9594393903946,188.9594393903946,1,0
5,0.5,1,12.13016473041681,271.4341463225774,0.044689162711316,7.197075807656942,188.9594393903946,0.0380879400937871,0
5,0.5,2,0.02010755227465576,271.4341463225774,7.407893423533963e-05,0.01100940528446952,188.9594393903946,5.826332529344476e-05,0
5,0.5,3,5.380732929735835e-08,271.4341463225774,1.982334574567959e-10,0,188.9594393903946,0,1
6,0.6000000000000001,0,255.413018098546,255.413018098546,1,175.2832542747849,175.2832542747849,1,0
6,0.6000000000000001,1,9.717199218817267,255.413018098546,0.03804504285317235,5.823990133464227,175.2832542747849,0.03322616388861756,0
6,0.6000000000000001,2,0.0120934244473568,255.413018098546,4.734850454134172e-05,0.006784205082147528,175.2832542747849,3.870423966177731e-05,0
6,0.6000000000000001,3,1.859689256615122e-08,255.413018098546,7.281105992403247e-11,0,175.2832542747849,0,1
7,0.7000000000000001,0,243.1964661238316,243.1964661238316,1,164.6304690582584,164.6304690582584,1,0
7,0.7000000000000001,1,8.096692069839641,243.1964661238316,0.03329280313521061,4.872545652776216,164.6304690582584,0.02959686430251225,0
7,0.7000000000000001,2,0.007923014586001668,243.1964661238316,3.257865836737694e-05,0.004508873782164773,164.6304690582584,2.738784508090784e-05,0
7,0.7000000000000001,3,7.651714918032883e-09,243.1964661238316,3.14631007596005e-11,0,164.6304690582584,0,1
8,0.8,0,233.4146777357653,233.4146777357653,1,156.0006974296047,156.0006974296047,1,0
8,0.8,1,6.933008944999475,233.4146777357653,0.02970254061249702,4.176046530328707,156.0006974296047,0.02676940936250076,0
8,0.8,2,0.005514187990340281,233.4146777357653,2.362399847272056e-05,0.003166005673797079,156.0006974296047,2.029481743327295e-05,0
8,0.8,3,3.567165071541201e-09,233.4146777357653,1.528252253090688e-11,0,156.0006974296047,0,1
9,0.9,0,225.312818037181,225.312818037181,1,148.8070887795512,148.8070887795512,1,0
9,0.9,1,6.05678932649499,225.312818037181,0.02688168999553103,3.645178252528366,148.8070887795512,0.02449599869485035,0
9,0.9,2,0.00401442898156648,225.312818037181,1.781713537888475e-05,0.002318006490084012,148.8070887795512,1.557725851029853e-05,0
9,0.9,3,1.828376764781281e-09,225.312818037181,8.114836877498746e-12,0,148.8070887795512,0,1
10,1,0,218.4336815021056,218.4336815021056,1,142.6785085597813,142.6785085597813,1,0
10,1,1,5.37325093743568,218.4336815021056,0.02459900369066428,3.227820807804969,142.6785085597813,0.02262303440361892,0
10,1,2,0.0030262630043054,218.4336815021056,1.385437897440844e-05,0.001753887043280867,142.6785085597813,1.22925804382515e-05,0
10,1,3,1.012032448483012e-09,218.4336815021056,4.633133688557349e-12,0,142.6785085597813,0,1
