step,disp_z,total_Fz
371,2.226,1770045.295759687
372,2.232,1775581.998597062
373,2.238,1781132.377214836
374,2.244,1786696.518111269
375,2.25,1792274.508143478
376,2.256,1797866.434533042
377,2.262,1803472.384871657
378,2.268,1809092.447126925
379,2.274,1814726.709648191
380,2.28,1820375.261172476
381,2.286,1826038.190830513
382,2.292,1831715.588152852
383,2.298,1837407.543076047
384,2.304,1843114.145948938
385,2.31,1848835.487539015
386,2.316,1854571.659038861
387,2.322,1860322.752072674
388,2.328,1866088.85870289
389,2.334,1871870.071436856
390,2.34,1877666.483233617
391,2.346,1883478.187510766
392,2.352,1889305.278151385
393,2.358,1895147.849511022
394,2.364,1901005.996424837
395,2.37,1906879.814214725
396,2.376,1912769.398696578
397,2.382,1918674.846187597
398,2.388,1924596.253513677
399,2.394,1930533.718016866
400,2.4,1936487.337562876
401,2.406,1942457.210548667
402,2.412,1948443.435910087
403,2.418,1954446.113129542
404,2.424,1960465.342243731
405,2.43,1966501.223851396
406,2.436,1972553.859121117
407,2.442,1978623.349799095
408,2.448,1984709.798216962
409,2.454,1990813.307299572
410,2.46,1996933.980572754
411,2.466,2003071.922171062
412,2.472,2009227.23684542
413,2.478,2015400.029970747
414,2.484,2021590.407553456
415,2.49,2027798.476238868
416,2.496,2034024.343318492
417,2.502,2040268.116737183
418,2.508,2046529.905100124
419,2.514,2052809.817679681
420,2.52,2059107.964422041
421,2.526,2065424.455953701
422,2.532,2071759.40358778
423,2.538,2078112.919330138
424,2.544,2084485.115885315
425,2.55,2090876.106662353
426,2.556,2097286.005780459
427,2.562,2103714.928074539
428,2.568,2110162.98910069
429,2.574,2116630.30514163
430,2.58,2123116.993212112
431,2.586,2129623.171064397
432,2.592,2136148.95719381
433,2.598,2142694.470844389
434,2.604,2149259.832014766
435,2.61,2155845.161464232
436,2.616,2162450.580719036
437,2.622,2169076.212079042
438,2.628,2175722.178624638
439,2.634,2182388.604224039
440,2.64,2189075.613540924
441,2.646,2195783.332042461
442,2.652,2202511.886007702
443,2.658,2209261.402536336
444,2.664,2216032.00955784
445,2.67,2222823.835840931
446,2.676,2229637.011003385
447,2.682,2236471.665522149
448,2.688,2243327.930743732
449,2.694,2250205.938894871
450,2.7,2257105.823093419
451,2.706,2264027.717359431
452,2.712,2270971.756626454
453,2.718,2277938.076752953
454,2.724,2284926.814533908
455,2.73,2291938.107712476
456,2.736,2298972.094991811
457,2.742,2306028.916046916
458,2.748,2313108.71153661
459,2.754,2320211.623115541
460,2.76,2327337.793446235
461,2.766,2334487.366211212
462,2.772,2341660.486125148
463,2.778,2348857.298947057
464,2.784,2356077.951492501
465,2.79,2363322.591645892
466,2.796,2370591.368372757
467,2.802,2377884.43173209
468,2.808,2385201.932888734
469,2.814,2392544.024125812
470,2.82,2399910.858857191
471,2.826,2407302.591640024
472,2.832,2414719.378187339
473,2.838,2422161.37538069
474,2.844,2429628.7412829
475,2.85,2437121.635150873
476,2.856,2444640.217448482
477,2.862,2452184.64985957
478,2.868,2459755.09530104
479,2.874,2467351.717936072
480,2.88,2474974.683187424
481,2.886,2482624.157750876
482,2.892,2490300.309608805
483,2.898,2498003.308043878
484,2.904,2505733.323652882
485,2.91,2513490.528360712
486,2.916,2521275.095434471
487,2.922,2529087.19949775
488,2.928,2536927.016545008
489,2.934,2544794.723956126
490,2.94,2552690.500511083
491,2.946,2560614.526404785
492,2.952,2568566.983262005
493,2.958,2576548.054152451
494,2.964,2584557.923605978
495,2.97,2592596.777627875
496,2.976,2600664.803714315
497,2.982,2608762.190867834
498,2.988,2616889.129612993
499,2.994,2625045.812012046
500,3,2633232.431680766
