theta,x,y,Cp,q_w
1.577814056521863,-0.007017672125512222,0.9999753759141858,0.1328018170199731,0.009609726117071074
1.605318742356542,-0.0345155586832335,0.9994041605690456,0.1449190139311325,0.01031778737542262
1.645596151880368,-0.07473009358642449,0.9972037971811801,0.1640366703222727,0.01143124869007779
1.685873561404194,-0.1148234125067443,0.9933859189128061,0.1848628343927389,0.012639513447031
1.713378247238873,-0.1420993056205747,0.989852406926875,0.2001069924825775,0.01352105380384032
1.727413706692806,-0.1559778866726696,0.9877605474131401,0.2082147531118988,0.01398896735332032
1.754918392527485,-0.1830835093274717,0.9830973647438344,0.224761112510512,0.01494195557200052
1.795195802051311,-0.2225209339563148,0.9749279121818235,0.2505979907375481,0.01642506054514299
1.835473211575136,-0.2615974184012986,0.9651770773488719,0.2783913507715279,0.01801408610187
1.862977897409815,-0.2880420196911319,0.9576177708506829,0.2985160128809103,0.01916074763045198
1.877013356863748,-0.301453812977258,0.9534807805080553,0.309147366109663,0.01976521332156447
1.904518042698427,-0.3275616769097258,0.9448297983097391,0.3306939856556844,0.02098765026423883
1.944795452222253,-0.3653410243663951,0.9308737486442042,0.3639533739349952,0.02286787010312886
1.985072861746078,-0.4025277702454895,0.9154077747840736,0.3992343849771436,0.02485379463673186
2.012577547580757,-0.4275503510168993,0.9039915361894181,0.424475215846901,0.02626934376153826
2.02661300703469,-0.4401957592373656,0.8979018285459816,0.4377094327915076,0.02700984251813231
2.05411769286937,-0.4647226579091943,0.8854562954656475,0.4643256409134582,0.02849564907634716
2.094395102393196,-0.5000000000000002,0.8660254037844386,0.504887628646889,0.03075126790614507
2.134672511917021,-0.5344663168595135,0.8451897751964115,0.5472491578828625,0.03309608620178277
2.1621771977517,-0.5575079140066362,0.8301716244107278,0.5771502658701048,0.03474468325195417
2.176212657205633,-0.5691044596377062,0.822265233472298,0.5926962576624843,0.03559972824139712
2.203717343040313,-0.5915025026620467,0.8063031621533363,0.6236928937715631,0.03730037912240797
2.243994752564138,-0.6234898018587338,0.7818314824680296,0.6702543164205094,0.03984470696589418
