stage,lambda,c,ptc_enabled,converged,iterations,residual,damped_steps,min_alpha,assembly_seconds,linear_seconds,total_seconds,failure
1,0.06,30,0,1,9,2.520326607699143e-09,5,0.125,10.592313944,2.402426384,13.128646928,
2,0.04,30,1,0,2,4.40028001901268,2,0.0625,3.144232809,1.091518916,4.28733936,PETSc direct trace solve did not converge: iterations=0 residual=0.000000
