theta,x,y,Cp,q_w
1.577814056521863,-0.007017672125512222,0.9999753759141858,0.1328018171251339,0.009609726121885697
1.605318742356542,-0.0345155586832335,0.9994041605690456,0.14491901400784,0.01031778737876494
1.645596151880368,-0.07473009358642449,0.9972037971811801,0.1640366703727675,0.01143124869182659
1.685873561404194,-0.1148234125067443,0.9933859189128061,0.184862834424639,0.01263951344801004
1.713378247238873,-0.1420993056205747,0.989852406926875,0.2001069925061008,0.01352105380438794
1.727413706692806,-0.1559778866726696,0.9877605474131401,0.2082147531318444,0.01398896735373182
1.754918392527485,-0.1830835093274717,0.9830973647438344,0.2247611125228585,0.01494195557222636
1.795195802051311,-0.2225209339563148,0.9749279121818235,0.2505979907439513,0.01642506054506442
1.835473211575136,-0.2615974184012986,0.9651770773488719,0.2783913507737097,0.01801408610152047
1.862977897409815,-0.2880420196911319,0.9576177708506829,0.2985160128811203,0.01916074762986901
1.877013356863748,-0.301453812977258,0.9534807805080553,0.3091473661083348,0.01976521332094907
1.904518042698427,-0.3275616769097258,0.9448297983097391,0.3306939856530109,0.0209876502637631
1.944795452222253,-0.3653410243663951,0.9308737486442042,0.3639533739340454,0.02286787010271808
1.985072861746078,-0.4025277702454895,0.9154077747840736,0.3992343849749855,0.02485379463615061
2.012577547580757,-0.4275503510168993,0.9039915361894181,0.4244752158425973,0.02626934376095307
2.02661300703469,-0.4401957592373656,0.8979018285459816,0.437709432787058,0.02700984251785423
2.05411769286937,-0.4647226579091943,0.8854562954656475,0.4643256409111106,0.02849564907645338
2.094395102393196,-0.5000000000000002,0.8660254037844386,0.504887628646994,0.03075126790620683
2.134672511917021,-0.5344663168595135,0.8451897751964115,0.5472491578814971,0.03309608620188262
2.1621771977517,-0.5575079140066362,0.8301716244107278,0.5771502658685019,0.03474468325214608
2.176212657205633,-0.5691044596377062,0.822265233472298,0.5926962576607935,0.03559972824150894
2.203717343040313,-0.5915025026620467,0.8063031621533363,0.6236928937694214,0.03730037912244898
2.243994752564138,-0.6234898018587338,0.7818314824680296,0.6702543164195472,0.03984470696590355
2.284272162087964,-0.6544657691338991,0.7560916326649229,0.7180304741308122,0.04244284883414123
2.311776847922643,-0.675011671451561,0.737807050360016,0.7512404711892589,0.04424152046445749
2.325812307376576,-0.685300306826551,0.7282605918352396,0.7683409721496571,0.04516538834980108
2.353316993211255,-0.7050691589338919,0.7091385485743872,0.8021010102839892,0.04698472886052224
2.393594402735081,-0.7330518718298263,0.6801727377709194,0.8519773076375698,0.04966167555967922
2.433871812258906,-0.7598455375979611,0.6501036524635129,0.9021135925570221,0.05233968077855061
2.461376498093585,-0.7774367835794677,0.6289610859937119,0.9363408957777772,0.05416060998476482
2.475411957547518,-0.7861876775855584,0.6179878119909843,0.9537644313883307,0.05508532256569824
2.502916643382198,-0.8028857352868664,0.5961329516364634,0.9877576726866061,0.05688507858064925
