timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.999999999999999889e-02,4.216218471378860855e+00,4.216218471378884836e+00
6.000000000000000000e+00,5.999999999999999778e-02,7.319249591654188869e+00,7.319249591654232390e+00
9.000000000000000000e+00,8.999999999999999667e-02,9.809359351348666323e+00,9.809359351348730272e+00
1.200000000000000000e+01,1.199999999999999956e-01,1.188667021198671669e+01,1.188667021198679308e+01
1.500000000000000000e+01,1.500000000000000222e-01,1.366637859797722854e+01,1.366637859797732091e+01
1.800000000000000000e+01,1.799999999999999933e-01,1.522422440274910116e+01,1.522422440274918998e+01
2.100000000000000000e+01,2.100000000000000200e-01,1.661194619501869951e+01,1.661194619501880254e+01
2.400000000000000000e+01,2.399999999999999911e-01,1.786554267482478053e+01,1.786554267482488356e+01
2.700000000000000000e+01,2.700000000000000178e-01,1.901054593698931683e+01,1.901054593698942696e+01
3.000000000000000000e+01,3.000000000000000444e-01,2.006550635145241301e+01,2.006550635145254446e+01
3.300000000000000000e+01,3.300000000000000155e-01,2.104429387758573711e+01,2.104429387758585435e+01
3.600000000000000000e+01,3.599999999999999867e-01,2.195760972452270821e+01,2.195760972452282900e+01
3.900000000000000000e+01,3.900000000000000133e-01,2.281397589871512821e+01,2.281397589871526677e+01
4.200000000000000000e+01,4.200000000000000400e-01,2.362038262800971467e+01,2.362038262800985322e+01
4.500000000000000000e+01,4.499999999999999556e-01,2.438271306244945791e+01,2.438271306244961423e+01
4.800000000000000000e+01,4.799999999999999822e-01,2.510602362094348194e+01,2.510602362094363826e+01
5.100000000000000000e+01,5.100000000000000089e-01,2.579473104959375007e+01,2.579473104959389573e+01
5.400000000000000000e+01,5.400000000000000355e-01,2.645273929865776452e+01,2.645273929865792084e+01
5.700000000000000000e+01,5.700000000000000622e-01,2.708352759901098139e+01,2.708352759901114837e+01
6.000000000000000000e+01,6.000000000000000888e-01,2.769021349840971880e+01,2.769021349840987867e+01
6.300000000000000000e+01,6.300000000000000044e-01,2.827559968176737470e+01,2.827559968176753102e+01
6.600000000000000000e+01,6.600000000000000311e-01,2.884221021137150842e+01,2.884221021137165408e+01
6.900000000000000000e+01,6.900000000000000577e-01,2.939231976977913874e+01,2.939231976977930572e+01
7.200000000000000000e+01,7.199999999999999734e-01,2.992797817086287893e+01,2.992797817086302814e+01
7.500000000000000000e+01,7.500000000000000000e-01,3.045103156357308904e+01,3.045103156357325602e+01
7.800000000000000000e+01,7.800000000000000266e-01,3.096314121978352318e+01,3.096314121978367240e+01
8.100000000000000000e+01,8.100000000000000533e-01,3.146580046254212348e+01,3.146580046254228336e+01
8.400000000000000000e+01,8.400000000000000799e-01,3.196035008303336511e+01,3.196035008303353564e+01
8.700000000000000000e+01,8.699999999999998845e-01,3.244799246743099275e+01,3.244799246743118459e+01
9.000000000000000000e+01,8.999999999999999112e-01,3.292980457872285882e+01,3.292980457872302935e+01
9.300000000000000000e+01,9.299999999999999378e-01,3.340674989425265551e+01,3.340674989425284025e+01
9.600000000000000000e+01,9.599999999999999645e-01,3.387968937479825371e+01,3.387968937479841713e+01
9.900000000000000000e+01,9.899999999999999911e-01,3.434939152762171943e+01,3.434939152762191128e+01
1.020000000000000000e+02,1.020000000000000018e+00,3.481654161915143675e+01,3.481654161915163570e+01
1.050000000000000000e+02,1.049999999999999822e+00,3.528175008972785065e+01,3.528175008972800697e+01
1.080000000000000000e+02,1.080000000000000071e+00,3.574556022132826882e+01,3.574556022132845357e+01
1.110000000000000000e+02,1.109999999999999876e+00,3.620845510830982761e+01,3.620845510831001945e+01
1.140000000000000000e+02,1.140000000000000124e+00,3.667086398038868822e+01,3.667086398038885875e+01
1.170000000000000000e+02,1.169999999999999929e+00,3.713316792602522298e+01,3.713316792602541483e+01
1.200000000000000000e+02,1.200000000000000178e+00,3.759570506299354520e+01,3.759570506299372994e+01
1.230000000000000000e+02,1.229999999999999982e+00,3.805877520117529400e+01,3.805877520117550716e+01
1.260000000000000000e+02,1.260000000000000009e+00,3.852264404057726210e+01,3.852264404057747527e+01
1.290000000000000000e+02,1.290000000000000036e+00,3.898754694529159082e+01,3.898754694529179687e+01
1.320000000000000000e+02,1.320000000000000062e+00,3.945369233168076306e+01,3.945369233168095491e+01
1.350000000000000000e+02,1.350000000000000089e+00,3.992126470653619918e+01,3.992126470653641235e+01
1.380000000000000000e+02,1.380000000000000115e+00,4.039042738840102942e+01,4.039042738840123548e+01
1.410000000000000000e+02,1.409999999999999920e+00,4.086132494270857762e+01,4.086132494270879079e+01
1.440000000000000000e+02,1.439999999999999947e+00,4.133408535891521041e+01,4.133408535891541646e+01
1.470000000000000000e+02,1.469999999999999973e+00,4.180882199542476485e+01,4.180882199542498512e+01
