timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,2.999999999999999889e-02,5.546255800543669068e+00,5.546255800543705483e+00
1.199999999999999956e+00,5.999999999999999778e-02,1.000404383977111067e+01,1.000404383977116751e+01
1.799999999999999822e+00,8.999999999999998279e-02,1.375251304147108122e+01,1.375251304147116649e+01
2.399999999999999911e+00,1.199999999999999956e-01,1.699769536682476812e+01,1.699769536682487470e+01
3.000000000000000000e+00,1.500000000000000222e-01,1.985653146801151792e+01,1.985653146801165292e+01
3.600000000000000089e+00,1.800000000000000211e-01,2.240099707454007572e+01,2.240099707454021782e+01
4.200000000000000178e+00,2.100000000000000200e-01,2.468004949225446154e+01,2.468004949225462497e+01
4.799999999999999822e+00,2.399999999999999911e-01,2.673029643733206839e+01,2.673029643733224248e+01
5.399999999999999467e+00,2.700000000000000178e-01,2.858115773132762172e+01,2.858115773132779225e+01
5.999999999999999112e+00,2.999999999999999889e-01,3.025739070329847991e+01,3.025739070329865399e+01
6.599999999999998757e+00,3.299999999999999045e-01,3.178036778196933199e+01,3.178036778196952028e+01
7.199999999999998401e+00,3.599999999999998757e-01,3.316876803939474172e+01,3.316876803939493357e+01
7.799999999999998046e+00,3.899999999999999023e-01,3.443899476786562275e+01,3.443899476786581459e+01
8.399999999999998579e+00,4.199999999999999289e-01,3.560546448126432040e+01,3.560546448126451935e+01
8.999999999999998224e+00,4.499999999999999001e-01,3.668083383249158658e+01,3.668083383249179263e+01
9.599999999999997868e+00,4.799999999999999267e-01,3.767619395516054226e+01,3.767619395516075542e+01
1.019999999999999751e+01,5.099999999999998979e-01,3.860124470432830890e+01,3.860124470432852206e+01
1.079999999999999716e+01,5.399999999999999245e-01,3.946445368287581346e+01,3.946445368287602662e+01
1.139999999999999680e+01,5.699999999999998401e-01,4.027320177210632579e+01,4.027320177210657448e+01
1.199999999999999645e+01,5.999999999999997558e-01,4.103391573541275505e+01,4.103391573541298953e+01
1.259999999999999609e+01,6.299999999999997824e-01,4.175218819043773522e+01,4.175218819043796969e+01
1.319999999999999574e+01,6.599999999999996980e-01,4.243288531265816488e+01,4.243288531265840646e+01
1.379999999999999538e+01,6.899999999999997247e-01,4.308024279865234263e+01,4.308024279865258421e+01
1.439999999999999503e+01,7.199999999999997513e-01,4.369795077736975486e+01,4.369795077737000355e+01
1.499999999999999467e+01,7.499999999999997780e-01,4.428922847542067842e+01,4.428922847542091290e+01
1.559999999999999432e+01,7.799999999999996936e-01,4.485688951054517304e+01,4.485688951054540752e+01
1.619999999999999574e+01,8.099999999999997202e-01,4.540339871127400784e+01,4.540339871127427074e+01
1.679999999999999716e+01,8.399999999999998579e-01,4.593092134975122320e+01,4.593092134975147900e+01
1.739999999999999858e+01,8.699999999999998845e-01,4.644136563851180455e+01,4.644136563851206745e+01
1.800000000000000000e+01,8.999999999999999112e-01,4.693641928926241746e+01,4.693641928926265905e+01
1.860000000000000142e+01,9.299999999999999378e-01,4.741758086928542326e+01,4.741758086928567906e+01
1.920000000000000284e+01,9.600000000000001865e-01,4.788618662420399374e+01,4.788618662420424954e+01
1.980000000000000426e+01,9.900000000000002132e-01,4.834343336827156179e+01,4.834343336827181759e+01
2.040000000000000568e+01,1.020000000000000240e+00,4.879039797767359232e+01,4.879039797767386233e+01
2.100000000000000711e+01,1.050000000000000488e+00,4.922805396021242075e+01,4.922805396021268365e+01
2.160000000000000853e+01,1.080000000000000515e+00,4.965728551717185724e+01,4.965728551717212014e+01
2.220000000000000995e+01,1.110000000000000542e+00,5.007889946060743114e+01,5.007889946060768693e+01
2.280000000000001137e+01,1.140000000000000568e+00,5.049363530191366323e+01,5.049363530191392613e+01
2.340000000000001279e+01,1.170000000000000817e+00,5.090217378518619995e+01,5.090217378518647706e+01
2.400000000000001421e+01,1.200000000000000622e+00,5.130514410137362802e+01,5.130514410137385539e+01
2.460000000000001563e+01,1.230000000000000870e+00,5.170312998616779510e+01,5.170312998616806510e+01
2.520000000000001705e+01,1.260000000000000675e+00,5.209667487563379495e+01,5.209667487563408628e+01
2.580000000000001847e+01,1.290000000000000924e+00,5.248628626833477284e+01,5.248628626833503574e+01
2.640000000000001990e+01,1.320000000000000950e+00,5.287243942077970615e+01,5.287243942077997616e+01
2.700000000000002132e+01,1.350000000000000977e+00,5.325558048403986788e+01,5.325558048404013789e+01
2.760000000000002274e+01,1.380000000000001004e+00,5.363612917299533933e+01,5.363612917299562355e+01
2.820000000000002416e+01,1.410000000000001252e+00,5.401448104557720598e+01,5.401448104557748309e+01
2.880000000000002558e+01,1.440000000000001279e+00,5.439100945726789860e+01,5.439100945726818992e+01
2.940000000000002700e+01,1.470000000000001306e+00,5.476606724576395635e+01,5.476606724576423346e+01
3.000000000000002842e+01,1.499999999999998668e+00,5.513998819185417943e+01,5.513998819185443523e+01
3.060000000000002984e+01,1.469999999999998641e+00,5.287005787679021296e+01,5.287005787679049007e+01
3.120000000000003126e+01,1.439999999999998170e+00,5.088095951646219817e+01,5.088095951646245396e+01
3.180000000000003268e+01,1.409999999999998366e+00,4.906684935902651290e+01,4.906684935902676870e+01
3.240000000000003411e+01,1.379999999999998117e+00,4.737060454075894000e+01,4.737060454075918159e+01
3.300000000000003553e+01,1.349999999999998312e+00,4.575942540764862088e+01,4.575942540764885536e+01
3.360000000000003695e+01,1.319999999999998064e+00,4.421321040695754334e+01,4.421321040695779203e+01
3.420000000000003837e+01,1.289999999999998259e+00,4.271873285316282676e+01,4.271873285316306834e+01
