timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.500000000000000000e+01,1.216761768410554168e-01
1.000000000000000056e-01,5.000000000000000000e+01,2.786923995080430871e-01
1.500000000000000222e-01,5.000000000000000000e+01,2.897952527826183622e-01
2.000000000000000111e-01,5.000000000000000000e+01,3.003463421174660808e-01
2.500000000000000000e-01,5.000000000000000000e+01,3.103897663659447304e-01
2.999999999999999889e-01,5.000000000000000000e+01,3.199656639680094061e-01
3.499999999999999778e-01,5.000000000000000000e+01,3.291105681505793190e-01
3.999999999999999667e-01,5.000000000000000000e+01,3.378577398325059433e-01
4.499999999999999556e-01,5.000000000000000000e+01,3.462374759161392368e-01
4.999999999999999445e-01,5.000000000000000000e+01,3.542773922455655367e-01
5.499999999999999334e-01,5.000000000000000000e+01,3.620026815766825279e-01
5.999999999999999778e-01,5.000000000000000000e+01,3.694363475839297362e-01
6.500000000000000222e-01,5.000000000000000000e+01,3.765994163338779455e-01
7.000000000000000666e-01,5.000000000000000000e+01,3.835111268696062559e-01
7.500000000000001110e-01,5.000000000000000000e+01,3.901891026324134648e-01
8.000000000000001554e-01,5.000000000000000000e+01,3.966495054427756073e-01
8.500000000000001998e-01,5.000000000000000000e+01,4.029071737019733201e-01
9.000000000000002442e-01,5.000000000000000000e+01,4.089757463815990035e-01
9.500000000000002887e-01,5.000000000000000000e+01,4.148677742556149406e-01
1.000000000000000222e+00,5.000000000000000000e+01,4.205948197092601037e-01
1.050000000000000266e+00,5.000000000000000000e+01,4.261675463378806761e-01
1.100000000000000311e+00,5.000000000000000000e+01,4.315957994311514501e-01
1.150000000000000355e+00,5.000000000000000000e+01,4.368886783269065877e-01
1.200000000000000400e+00,5.000000000000000000e+01,4.420546015154037112e-01
1.250000000000000444e+00,5.000000000000000000e+01,4.471013652799993854e-01
1.300000000000000488e+00,5.000000000000000000e+01,4.520361965740423149e-01
1.350000000000000533e+00,5.000000000000000000e+01,4.568658007560778000e-01
1.400000000000000577e+00,5.000000000000000000e+01,4.615964047357660749e-01
1.450000000000000622e+00,5.000000000000000000e+01,4.662337960206809351e-01
1.500000000000000666e+00,5.000000000000000000e+01,4.707833580987849098e-01
1.550000000000000711e+00,5.000000000000000000e+01,4.752501025421956293e-01
1.600000000000000755e+00,5.000000000000000000e+01,4.796386981743108735e-01
1.650000000000000799e+00,5.000000000000000000e+01,4.839534976037994651e-01
1.700000000000000844e+00,5.000000000000000000e+01,4.881985613949024194e-01
1.750000000000000888e+00,5.000000000000000000e+01,4.923776801133763481e-01
